timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2024-12-30T00:00:00.000Z,2025-01-05T23:59:59.999Z,2025-01-03T19:22:00.000Z,2024-12-30T15:11:00.000Z,2781,93527.1975,98956.91704,91317.13546,98314.95944,294831382341,1947189546144,2025-01-05T23:59:59.999Z
2024-12-23T00:00:00.000Z,2024-12-29T23:59:59.999Z,2024-12-26T00:11:00.000Z,2024-12-23T20:17:00.000Z,2781,95099.39195,99884.57217,92403.13138,93530.22844,346327568985,1852119372624,2024-12-29T23:59:59.999Z
2024-12-16T00:00:00.000Z,2024-12-22T23:59:59.999Z,2024-12-17T14:59:00.000Z,2024-12-20T12:18:00.000Z,2781,104293.5765,108268.4471,92175.18045,95104.93437,742331818762,1882953315399,2024-12-22T23:59:59.999Z
2024-12-09T00:00:00.000Z,2024-12-15T23:59:59.999Z,2024-12-15T23:28:00.000Z,2024-12-10T18:13:00.000Z,2781,101237.0615,105047.5419,94321.25879,104298.6958,593503266057,2065144333081,2024-12-15T23:59:59.999Z
2024-12-02T00:00:00.000Z,2024-12-08T23:59:59.999Z,2024-12-05T03:09:00.000Z,2024-12-05T22:29:00.000Z,2781,97276.01012,103900.4721,91998.7817,101236.0131,549005393438,2003538950158,2024-12-08T23:59:59.999Z
2024-11-25T00:00:00.000Z,2024-12-01T23:59:59.999Z,2024-11-25T09:23:00.000Z,2024-11-26T20:40:00.000Z,2781,98033.4427,98935.03181,90770.81504,97279.79292,471413056944,1924784957144,2024-12-01T23:59:59.999Z
2024-11-18T00:00:00.000Z,2024-11-24T23:59:59.999Z,2024-11-22T19:38:00.000Z,2024-11-18T14:00:00.000Z,2781,89843.71548,99655.50108,89393.59057,98013.82091,608437036820,1937919789263,2024-11-24T23:59:59.999Z
2024-11-11T00:00:00.000Z,2024-11-17T23:59:59.999Z,2024-11-13T16:16:00.000Z,2024-11-11T00:13:00.000Z,2781,80471.41319,93434.35534,80283.24762,89845.85121,631742325165,1777526304284,2024-11-17T23:59:59.999Z
2024-11-04T00:00:00.000Z,2024-11-10T23:59:59.999Z,2024-11-10T22:23:00.000Z,2024-11-04T21:55:00.000Z,2781,68742.13467,81474.42389,66803.65,80474.1856,436048950363,1591750610706,2024-11-10T23:59:59.999Z
2024-10-28T00:00:00.000Z,2024-11-03T23:59:59.999Z,2024-10-29T19:12:00.000Z,2024-11-03T15:40:00.000Z,2781,67922.67427,73577.20966,67482.52544,68741.11549,320458852735,1359535744745,2024-11-03T23:59:59.999Z
2024-10-21T00:00:00.000Z,2024-10-27T23:59:59.999Z,2024-10-21T00:32:00.000Z,2024-10-23T18:21:00.000Z,2781,69002.00015,69462.73678,65188.03529,67929.2988,210764883687,1343230761708,2024-10-27T23:59:59.999Z
2024-10-14T00:00:00.000Z,2024-10-20T23:59:59.999Z,2024-10-20T22:53:00.000Z,2024-10-14T00:53:00.000Z,2781,62848.39949,69359.00706,62442.154,69001.70662,233833427419,1364212669154,2024-10-20T23:59:59.999Z
